Longitude,Latitude,Deep
-84.752493,31.171725,5.2
-84.752462,31.171731,9.7
-84.752432,31.171738,8.2
-84.752401,31.171744,7.4
-84.752369,31.17175,9
-84.752337,31.171755,10.2
-84.752306,31.17176,11.3
-84.752275,31.171765,10.7
-84.752244,31.171771,11.1
-84.752212,31.171776,11.3
-84.752181,31.171783,11
-84.752151,31.171789,11.3
-84.752121,31.171795,9.5
-84.75209,31.171801,6.5
-84.752059,31.171807,9.2
-84.752028,31.171813,9.9
-84.751998,31.171818,10.6
-84.751968,31.171824,9.3
-84.751937,31.17183,9.7
-84.751906,31.171836,8.9
-84.751876,31.171842,10.3
-84.751844,31.171847,10.5
-84.751814,31.171853,9
-84.751783,31.171859,8.5
-84.751753,31.171864,7.5
-84.751722,31.171869,8.4
-84.751691,31.171875,8.2
-84.751661,31.171882,7.6
-84.75163,31.171888,6.4
-84.751599,31.171895,0.8
-84.751568,31.171901,0.5
-84.751538,31.171907,2
-84.751507,31.171912,1.2
-84.751476,31.171917,3.3
-84.751446,31.171922,2.8
-84.751416,31.171927,2.7
-84.751386,31.171932,4.6
-84.751356,31.171937,3.6
-84.751326,31.171943,4.8
-84.751295,31.171949,7.1
-84.751266,31.171956,7.8
-84.751235,31.171962,8.8
-84.751205,31.171969,10
-84.751174,31.171975,8.1
-84.751144,31.171981,8.4
-84.751113,31.171986,9.5
-84.751083,31.171992,9.1
-84.751053,31.171998,9.4
-84.751023,31.172003,8
-84.750993,31.172008,6.9
-84.750963,31.172014,6.5
-84.750933,31.17202,5.8
-84.750902,31.172025,4.4
-84.750872,31.172031,4.9
-84.750841,31.172037,5.5
-84.750811,31.172042,4.7
-84.75078,31.172049,5.5
-84.75075,31.172055,6.1
-84.750719,31.17206,6.8
-84.750689,31.172064,8.7
-84.750658,31.17207,9.6
-84.750628,31.172075,9.5
-84.750598,31.172081,9.1
-84.750568,31.172088,9.1
-84.750538,31.172094,9.3
-84.750508,31.172099,9.4
-84.750477,31.172104,9.1
-84.750447,31.17211,10.4
-84.750417,31.172116,11.6
-84.750387,31.172122,11.5
-84.750357,31.172129,12.6
-84.750326,31.172134,11.2
-84.750296,31.172139,11.5
-84.750265,31.172145,12.3
-84.750234,31.17215,11.5
-84.750204,31.172156,11.2
-84.750174,31.172162,12
-84.750143,31.172169,10.4
-84.750113,31.172175,10.5
-84.750082,31.17218,10.6
-84.750051,31.172185,9.6
-84.75002,31.172192,8.6
-84.749989,31.172197,8.2
-84.749958,31.172203,8.7
-84.749929,31.172209,5.3
-84.7499,31.172214,7
-84.749871,31.17222,6.7
-84.749842,31.172226,5.1
-84.749811,31.172232,4.5
-84.749781,31.172237,6
-84.74975,31.172242,8.4
-84.74972,31.172248,7.6
-84.749689,31.172254,8.9
-84.749659,31.17226,12.1
-84.749628,31.172265,10.7
-84.749598,31.172271,11.6
-84.749568,31.172277,9.4
-84.749538,31.172284,9.3
-84.749507,31.172291,12.7
-84.749477,31.172296,13.6
-84.749447,31.172302,12.5
-84.749416,31.172307,15
-84.749385,31.172312,10.9
-84.749355,31.172317,12.1
-84.749324,31.172323,12.8
-84.749294,31.172328,12.1
-84.749264,31.172334,12.5
-84.749233,31.17234,12.3
-84.749203,31.172346,12.5
-84.749173,31.172352,11.1
-84.749143,31.172357,10.9
-84.749112,31.172363,11.8
-84.749082,31.172368,10
-84.749052,31.172374,10.4
-84.749021,31.17238,10.4
-84.748991,31.172386,8.8
-84.74896,31.172392,10.8
-84.748929,31.172397,12.3
-84.748899,31.172403,14.9
-84.748868,31.172409,14
-84.748837,31.172414,14.1
-84.748807,31.17242,17.3
-84.748777,31.172425,15.3
-84.748746,31.172432,15.5
-84.748716,31.172438,16.5
-84.748685,31.172443,14.8
-84.748654,31.172448,12.3
-84.748623,31.172454,11.1
-84.748592,31.17246,10.9
