Easting[m], Northing[m], CH-1.0m
669919.112,5856645.201,4.699
669919.051,5856645.216,4.738
669918.969,5856645.216,4.426
669918.923,5856645.211,4.66
669918.849,5856645.203,4.543
669918.784,5856645.196,4.465
669918.703,5856645.187,3.996
669918.635,5856645.193,3.879
669918.546,5856645.217,4.269
669918.428,5856645.248,4.386
669918.32,5856645.276,4.347
669918.222,5856645.302,4.621
669918.104,5856645.334,4.894
669917.958,5856645.328,5.011
669917.758,5856645.314,4.66
669917.576,5856645.301,5.011
669917.418,5856645.289,4.308
669917.219,5856645.274,4.699
669917.064,5856645.259,4.816
669916.947,5856645.248,5.324
669916.794,5856645.233,5.285
669916.624,5856645.216,5.441
669916.464,5856645.201,5.871
669916.334,5856645.126,5.871
669916.187,5856645.035,5.597
669916.043,5856644.945,5.754
669915.897,5856644.855,5.949
669915.768,5856644.775,5.48
669915.581,5856644.647,6.144
669915.402,5856644.516,6.808
669915.164,5856644.34,6.457
669914.986,5856644.21,6.183
669914.763,5856644.046,6.144
669914.537,5856643.857,5.91
669914.354,5856643.612,6.027
669914.234,5856643.451,6.535
669914.061,5856643.22,5.91
669913.937,5856643.054,6.066
669913.766,5856642.825,6.144
669913.647,5856642.646,6.34
669913.489,5856642.402,5.988
669913.369,5856642.217,5.988
669913.215,5856641.98,6.301
669913.105,5856641.809,6.613
669912.974,5856641.59,6.379
669912.86,5856641.382,5.949
669912.74,5856641.162,6.105
669912.633,5856640.967,5.793
669912.503,5856640.728,5.871
669912.384,5856640.466,5.871
669912.33,5856640.247,5.949
669912.27,5856640.003,5.871
669912.196,5856639.705,5.441
669912.143,5856639.489,5.715
669912.073,5856639.204,5.832
669911.997,5856638.938,6.183
669911.904,5856638.622,6.261
669911.799,5856638.265,6.418
669911.715,5856637.981,6.574
669911.62,5856637.653,7.043
669911.528,5856637.316,7.472
669911.479,5856637.137,7.629
669911.403,5856636.859,7.902
669911.333,5856636.601,8.136
669911.256,5856636.318,8.41
669911.183,5856635.942,8.761
669911.147,5856635.731,8.801
669911.09,5856635.403,8.761
669911.034,5856635.072,9.386
669910.99,5856634.818,9.035
669910.957,5856634.521,9.426
669910.957,5856634.286,9.191
669910.956,5856634.014,8.84
669910.955,5856633.833,8.957
669910.954,5856633.575,8.84
669910.958,5856633.274,8.84
669910.97,5856633.086,9.074
669910.989,5856632.793,9.191
669911.001,5856632.617,8.957
669911.016,5856632.376,8.449
669911.035,5856632.094,7.629
669911.018,5856631.873,7.316
669910.985,5856631.55,7.551
669910.958,5856631.285,7.394
669910.923,5856630.947,7.785
669910.889,5856630.615,7.824
669910.863,5856630.388,7.941
669910.829,5856630.123,7.511
669910.788,5856629.804,7.355
669910.761,5856629.596,7.472
669910.728,5856629.339,6.027
669910.697,5856629.102,6.691
669910.649,5856628.792,7.082
669910.597,5856628.46,6.965
669910.568,5856628.271,7.551
669910.517,5856627.947,7.043
669910.467,5856627.625,6.222
669910.411,5856627.386,6.34
669910.329,5856627.053,5.715
669910.263,5856626.787,5.793
669910.179,5856626.443,5.636
669910.107,5856626.153,6.222
669909.963,5856625.76,6.379
669909.871,5856625.517,6.183
669909.755,5856625.21,5.871
669909.636,5856624.895,5.636
669909.541,5856624.644,5.871
669909.422,5856624.286,5.715
669909.308,5856623.902,6.183
669909.223,5856623.616,6.535
669909.116,5856623.258,6.574
669909,5856622.869,6.105
669908.918,5856622.615,6.027
669908.76,5856622.247,5.558
669908.576,5856621.819,5.558
669908.463,5856621.558,5.441
669908.33,5856621.248,5.949
669908.17,5856620.877,5.324
669907.948,5856620.519,5.519
669907.811,5856620.302,5.246
669907.615,5856619.992,5.558
669907.399,5856619.65,5.91
669907.236,5856619.391,6.144
669907.079,5856619.118,7.004
669906.914,5856618.81,6.535
669906.734,5856618.473,6.457
669906.588,5856618.2,6.496
669906.406,5856617.861,6.183
669906.209,5856617.483,6.379
669906.105,5856617.273,6.613
669905.937,5856616.936,5.793
669905.75,5856616.561,5.441
669905.645,5856616.35,6.027
669905.483,5856616.026,5.636
669905.34,5856615.741,5.441
669905.168,5856615.401,5.676
669905.031,5856615.131,6.222
