X Location,Y Location,EC_SH,EC_DP,ELEV_Ft
-86.1446433,31.279345,4.1,3.7,71.5
-86.1446466,31.2792533,3.3,3,71.1
-86.1446466,31.2792283,3.1,2.9,70.9
-86.1446433,31.2792049,3.1,3.4,70.8
-86.1446433,31.2791816,3,2.8,70.8
-86.14465,31.2788733,4.9,3.5,68.6
-86.1446483,31.27884,4.8,3.8,68.4
-86.1446483,31.2788083,5.4,4.5,68.3
-86.1446483,31.2787783,4.5,4.6,68
-86.1446483,31.2787483,4.6,4.1,67.7
-86.1446483,31.2787217,4.9,4.6,67.5
-86.14465,31.2786966,4,3.6,67.3
-86.144695,31.2783483,1.8,1.8,65
-86.1447216,31.2783283,3,2.6,65.1
-86.1447549,31.2783133,4.5,3.6,65.2
-86.1447899,31.2783033,3.9,4.1,65.2
-86.145065,31.2783066,1,1,66.1
-86.1452683,31.27831,3.5,3.7,66.6
-86.146975,31.2780916,5.7,3.6,73.9
-86.1469816,31.2783599,5.4,3.7,76.4
-86.1469816,31.2783917,4.4,-4,76.6
-86.1469816,31.2786383,3.1,2.8,77.2
-86.1469816,31.2786683,2.1,-4,77.3
-86.1469833,31.2786983,2.1,1.9,77.5
-86.1469833,31.2787283,1.7,1.7,77.7
-86.1470316,31.2792266,1.3,1.1,77.7
